Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-290143,06co304,39.7252,-106.13104,25-Jul-06,national forest,<0.02,6.1,0.84,2.83,2.66,0.55,1.45,0.02,0.26,<1,4,756,1.9,0.2,0.5,97.7,7.7,55,<5,12.7,14,0.04,45.5,29,"1,060",0.86,11.1,18.4,850,38.4,112,0.41,6.9,1.8,217,<0.1,18.5,0.7,2.4,70,1.1,12.1,118,<0.2
C-290051,06co305,39.72109,-105.69389,25-Jun-06,Urban—Georgetown,0.07,6.07,0.4,1.47,3.23,0.29,1.15,0.04,0.08,2,6,775,1.3,0.11,2.9,110,4.5,25,<5,17.8,13.4,0.05,52.1,13,335,0.89,5.8,10.9,580,174,171,1.46,4.8,2.6,137,<0.1,29.8,1.2,3.8,24,0.7,8.8,882,<0.2
C-284961,06co306,39.70946,-105.06245,26-Jun-06,Commercial—Denver,0.03,6.08,2.06,3.36,2.67,0.99,1.41,0.17,0.2,<1,3,645,1.8,0.31,0.6,69.7,11.4,45,7,27.7,14.3,0.07,33.1,16,641,1.34,8.8,15.4,930,88.1,96.6,1,10.3,2.4,267,<0.1,12.9,0.5,1.9,81,2,16.3,196,<0.2
C-290019,06co307,39.71469,-104.24689,14-Jun-06,idle,<0.02,5.44,0.72,1.83,2.05,0.45,0.65,0.04,0.18,<1,6,703,1.5,0.17,0.3,69.2,7,27,<5,12.8,11.6,0.03,36.4,18,398,0.98,9.3,13,730,27.4,90.1,0.53,6,1.4,129,<0.1,11.5,0.6,2.6,52,0.8,16.6,59,0.3
C-284841,06co308,39.71053,-103.33021,23-Mar-06,farm,<0.02,5.72,2.19,2.1,2.31,0.74,0.82,0.03,0.22,<1,6,725,1.5,0.21,0.3,75.9,7.3,34,<5,13.6,12.9,0.04,37.4,25,386,0.84,10.7,15.1,700,20.2,96.9,0.66,7.3,1.6,183,<0.1,12.6,0.7,2.7,65,0.9,18.1,58,0.3
C-292192,06co309,39.69833,-102.99148,23-Mar-06,farm,<0.02,5.26,0.58,1.33,2.71,0.31,1.08,0.02,0.17,<1,3,790,1.6,0.12,0.3,62.7,4.3,21,<5,8.8,11.1,<0.02,32.9,14,277,0.6,8.9,8.2,620,21.1,101,0.42,4.6,1,182,<0.1,10.9,0.6,2.3,38,0.6,15.3,40,<0.2
C-290156,06co310,39.51275,-108.93862,10-Sep-06,BLM,<0.02,2.71,1.4,1.54,1.34,0.59,0.57,0.04,0.1,<1,5,467,0.8,0.08,0.3,27,4.1,22,<5,10.1,5.18,<0.02,14.3,14,333,0.54,3.8,11.3,490,11.1,45.9,0.54,3.1,0.6,79.9,<0.1,4.1,0.3,1.3,35,0.6,8.7,45,0.2
C-292266,06co311,39.626,-108.79066,10-Sep-06,BLM,0.03,5.27,0.57,1.96,2.21,0.45,0.56,0.06,0.2,<1,7,734,1.6,0.2,0.4,55.7,8.2,36,6,26.7,11.1,0.02,28.8,28,481,0.97,7.1,17.3,810,22.7,89,1.01,6.9,1.4,109,<0.1,8.9,0.6,2.3,68,1.2,16.7,87,0.3
C-290150,06co312,39.57351,-108.34756,11-Sep-06,BLM,<0.02,5.51,10.4,2.56,2.2,2.83,0.74,0.06,0.24,<1,11,588,1.6,0.19,0.4,56.4,8.2,42,6,23.8,12.4,0.05,28.7,81,683,1.85,8.7,21.3,780,15.7,83.4,0.85,8.6,1.6,546,<0.1,9.9,0.5,4,97,0.9,19.2,77,0.3
C-284922,06co313,39.64763,-107.87643,27-Jul-06,BLM,<0.02,5.87,0.86,1.95,2.75,0.41,1.39,0.02,0.18,<1,6,847,1.2,0.17,0.2,66.4,6.6,23,<5,16.1,12.8,0.03,33.2,14,327,0.42,7,11.3,540,20.7,90.6,0.69,5.2,1.2,148,<0.1,10.7,0.6,2,56,1,13.9,60,<0.2
C-290071,06co314,39.62097,-107.54549,26-Jul-06,BLM,<0.02,5.5,3.17,1.56,2.44,0.56,1.1,0.02,0.1,<1,2,543,2.2,0.17,0.1,57.6,5.4,26,<5,10.7,11,0.03,28.6,22,307,0.17,4.7,12,660,17.4,98.5,0.17,5.7,1.2,114,<0.1,9.1,0.6,2.1,30,0.5,12.1,44,<0.2
C-285047,06co315,39.62696,-107.10522,25-Jul-06,BLM,<0.02,5.81,7.36,2.86,1.95,1.98,0.67,0.05,0.22,<1,8,398,1.9,0.17,0.5,56.7,11.3,49,<5,25.1,13.5,0.05,27.5,50,651,3.13,10,28.2,"1,280",21,77.6,0.47,8.4,2.1,238,<0.1,10.8,0.5,4.1,66,0.9,18,111,0.7
C-285152,06co316,39.63407,-106.51026,25-Jul-06,national forest,<0.02,5.29,3.83,2.69,2.39,1.57,0.69,0.04,0.19,<1,5,531,1.8,0.14,0.3,83,11.1,58,<5,21.6,13.8,0.05,41.4,37,473,1.04,7.6,27.6,970,21.1,103,0.33,10.1,1.7,113,<0.1,13.1,0.6,2.9,67,1,16.2,75,<0.2
C-289954,06co317,39.65436,-105.18261,25-Jun-06,idle,0.03,6.13,13.8,1.87,1.58,0.64,0.25,0.07,0.21,<1,9,497,1.5,0.37,0.4,48.3,7.6,53,6,25.9,12.7,0.05,25.8,35,248,5.74,8,31,680,20.3,83.4,0.75,8.6,1.7,714,<0.1,10.4,0.8,4.3,124,0.9,14.5,80,0.8
C-284763,06co318,39.66753,-104.04133,14-Jun-06,agriculture,0.02,5.7,2.5,2.45,2.26,0.78,0.71,0.03,0.21,<1,8,655,1.6,0.23,0.3,76.7,8.3,36,<5,20.9,13.7,0.05,40.1,30,384,0.94,10.6,19.4,590,19.8,98.9,0.72,8.8,1.8,176,<0.1,12,0.7,2.3,71,1,20,66,0.4
C-285042,06co319,39.64885,-103.59364,23-Mar-06,farm,0.03,7.76,1.57,2.9,2.62,1.17,0.6,0.05,0.21,<1,9,577,2,0.31,0.2,63.6,9.3,49,9,21.2,16.1,0.05,34.7,46,236,2.13,10.2,27.7,680,26.2,118,0.83,9.7,2,177,<0.1,11.9,0.6,4.2,95,1.2,17.3,86,0.8
C-292283,06co320,39.66716,-103.50069,23-Mar-06,farm,<0.02,5.34,0.97,1.85,2.75,0.55,1.05,0.03,0.22,<1,5,787,1.7,0.2,0.3,70.9,7.1,28,<5,14.1,13.2,0.03,35.5,22,450,0.84,10.7,13.3,580,22.3,106,0.6,6.6,1.3,173,<0.1,11.7,0.6,2.5,57,0.9,20,57,0.3
C-289968,06co321,39.64087,-102.86002,18-Mar-06,open range,<0.02,4.76,0.5,0.74,2.56,0.18,1.16,0.02,0.11,<1,2,825,1.2,0.17,0.1,43.1,2.5,14,<5,6.7,10.2,<0.02,25,9,203,0.38,6.7,5,310,21.2,109,0.23,2.7,0.7,146,<0.1,7.5,0.6,1.5,23,0.4,10.3,24,<0.2
C-292448,06co322,39.62873,-102.38264,18-Mar-06,open range,<0.02,5.45,1.57,1.7,2.28,0.59,1.05,0.03,0.21,<1,4,726,1.7,0.14,0.3,60.9,5.4,28,<5,10.3,12.3,0.03,34.2,20,314,0.72,9.6,11.1,660,19.4,93.7,0.54,6.2,1.4,195,<0.1,12.3,0.6,2.6,51,0.8,18.3,63,0.3
C-289931,06co323,39.63152,-102.08442,18-Mar-06,wildlife area,<0.02,4.59,0.78,0.6,2.88,0.17,1.15,0.02,0.11,<1,1,962,1.2,0.06,0.1,37.6,1.7,8,<5,4.4,9.26,<0.02,24.5,9,140,0.25,6.2,3.3,370,20.1,105,0.16,2,0.5,180,<0.1,6.4,0.5,1.4,20,0.3,10.5,24,<0.2
C-292381,06co324,39.53686,-108.32271,11-Sep-06,BLM,0.02,6.54,8.19,2.85,2.36,2.1,0.56,0.05,0.22,<1,13,586,2.1,0.29,0.8,58.1,9.2,52,7,32.9,14.4,0.05,31.8,70,526,4.7,8.5,24.6,780,19.3,103,1.31,9.4,1.9,437,<0.1,10,0.7,4.9,137,1.2,18.1,88,0.5
C-284772,06co325,39.60867,-107.80502,27-Jul-06,BLM,<0.02,4.27,0.66,1.67,1.94,0.4,0.4,0.02,0.17,<1,6,802,1.2,0.17,0.2,65.2,5.5,17,<5,14.6,10,0.03,34.5,15,435,0.41,6.2,11.5,350,20.3,81.6,0.68,5.6,1.1,82.9,<0.1,8.6,0.5,1.4,53,0.7,15,70,<0.2
C-292239,06co326,39.6552,-106.81537,25-Jul-06,idle,<0.02,5.52,5.47,3.01,2.28,2.08,1.08,0.05,0.29,<1,5,652,1.8,0.15,0.3,72.3,13.6,56,<5,22.1,13.1,0.04,34.9,37,549,2.49,10.3,32,"1,210",14.3,80.1,0.5,11.1,1.7,287,<0.1,10,0.5,3.5,86,1.1,20.2,72,0.4
C-284857,06co327,39.58959,-106.24467,25-Jul-06,national forest,<0.02,5.66,1.04,1.81,2.39,0.51,1.6,0.02,0.13,<1,2,726,1.5,0.14,0.1,58.7,6.1,35,<5,10,12.5,0.05,30.8,13,301,0.8,7,12.2,500,28.5,104,0.28,5.9,1.5,229,<0.1,10.8,0.7,2.2,40,6.2,10.1,73,<0.2
C-285193,06co328,39.59351,-105.71295,25-Jun-06,national forest,<0.02,6.16,1.22,3.58,2.72,0.73,1.71,0.03,0.25,<1,2,798,2.5,0.25,0.3,93.8,11.3,46,<5,19.7,17.2,0.06,45.4,16,637,2.47,8.7,19.5,950,31.5,117,0.63,12.2,1.8,232,<0.1,16.1,0.8,3.7,79,2.2,18.8,87,<0.2
C-284968,06co329,39.62716,-105.13161,25-Jun-06,idle,0.03,6.01,3,2.68,2.28,1.04,0.71,0.04,0.19,<1,7,561,1.8,0.41,0.3,67.8,8.4,45,7,25.4,15.2,0.06,32.9,31,347,1.91,8,18.9,690,25.8,98.5,0.81,8.5,2.1,198,0.1,13.2,0.7,2.8,91,1.1,15.2,100,0.3
C-284871,06co330,39.6247,-103.834,24-Mar-06,pasture,<0.02,4.67,2.63,2.11,1.89,0.59,0.55,0.64,0.17,<1,9,583,1.2,0.14,0.1,56.2,6.7,26,<5,9,9.96,0.03,29,25,306,0.97,7.6,13.2,560,17.8,81.3,0.5,5.8,1.2,259,<0.1,9.1,0.5,3.1,62,0.8,14.6,53,0.3
C-289928,06co331,39.59494,-103.59512,23-Mar-06,open range,0.02,6.65,0.8,2.38,2.52,0.75,0.83,0.05,0.28,<1,7,722,1.9,0.27,0.5,75.9,8.8,43,6,21.9,15,0.05,39.3,29,534,1.06,10.4,19.4,860,22.6,107,0.69,8.9,1.8,150,<0.1,15.2,0.7,3.3,80,0.9,22,83,0.5
C-292411,06co332,39.582,-102.62984,18-Mar-06,open range,<0.02,3.94,0.42,0.66,2.5,0.13,0.95,0.02,0.1,<1,1,786,1.1,0.05,0.2,34.7,1.7,10,<5,3.4,8.41,<0.02,21.3,6,150,0.28,6.7,3.4,270,19.1,101,0.18,1.8,0.6,134,<0.1,6.3,0.4,1.3,19,0.4,8.8,24,<0.2
C-285064,06co333,39.60104,-102.25349,18-Mar-06,farm,<0.02,4.78,0.66,1.04,2.73,0.22,1.16,0.02,0.14,<1,2,799,1.2,0.04,0.2,61.1,3.1,13,<5,6.6,10,<0.02,36.5,10,273,0.51,8.1,6.1,360,19.5,97.4,0.26,2.8,0.8,217,<0.1,10.7,0.6,2.1,28,0.5,11.9,25,<0.2
C-289929,06co334,39.50606,-108.39845,11-Sep-06,BLM,<0.02,6.19,9.18,2.5,1.92,2.02,0.66,0.05,0.23,<1,12,597,1.9,0.23,0.5,57.5,8.3,44,6,22.5,14,0.05,30,56,522,4.89,7.4,20.8,780,16.9,89,0.87,9.2,1.6,423,<0.1,10.7,0.6,4.1,97,0.8,17.4,77,0.4
C-284731,06co335,39.53453,-108.12112,11-Sep-06,BLM,0.03,6.36,4.54,3.02,2.34,1.58,0.77,0.12,0.21,<1,12,530,1.9,0.31,0.6,69,9.5,50,6,22.8,16,0.06,34.6,58,393,2.8,8.5,23.8,660,21.5,109,1.19,10.5,1.9,237,<0.1,10.5,0.8,3.3,112,1.1,17.3,95,0.6
C-284874,06co336,39.54504,-107.6588,27-Jul-06,idle,0.03,5.72,2.87,2.55,2.07,0.92,0.96,0.09,0.23,<1,5,670,1.3,0.51,0.5,70.6,7.8,34,5,28.4,12,0.04,36.8,24,392,1.7,8.5,17.1,980,27,84.3,0.59,7.5,2.7,233,<0.1,10.5,0.5,2.9,68,1.1,15,92,0.7
C-292369,06co337,39.58824,-107.00592,25-Jul-06,BLM,<0.02,5.97,5.47,2.77,2.95,2.27,0.93,0.04,0.24,<1,3,497,2,0.22,0.3,73.2,9.4,46,<5,17.8,13.7,0.05,36.4,44,517,1.84,7.3,21.9,900,14.3,101,0.34,9.7,2,141,<0.1,9.7,0.5,3.8,60,0.9,20.8,63,0.3
C-284907,06co338,39.60706,-106.60994,25-Jul-06,national forest,<0.02,6.26,1.17,3.53,2.27,1.1,1.02,0.04,0.27,<1,5,715,1.6,0.21,0.3,77.8,14.3,63,<5,27.4,15.3,0.05,35.6,31,775,1.54,10.7,31.2,"1,230",28.1,93.5,0.4,10.4,1.8,219,<0.1,11,0.6,2.4,85,0.8,15.6,105,0.2
C-292371,06co339,39.55637,-106.39733,25-Jul-06,national forest,<0.02,7.99,0.41,2.9,3.46,0.73,0.51,0.02,0.26,<1,3,515,3.2,0.18,0.2,57.9,8.4,73,6,11.9,18.5,0.09,28,37,164,0.37,10.4,22.9,340,18.4,150,0.23,12,3.1,70,<0.1,15.9,0.7,3.4,70,2.8,10.5,73,<0.2
C-285181,06co340,39.59675,-106.03363,23-Jun-06,national forest,<0.02,5.18,0.66,2.35,2.16,0.49,1.14,0.01,0.21,<1,4,659,1.8,0.26,0.2,83.5,8.4,48,<5,9.3,13.6,0.04,42.1,21,532,1.11,10.5,16.8,850,32.8,107,0.34,7.8,1.5,184,<0.1,15.8,0.7,2.4,60,1.4,12.1,82,<0.2
C-284865,06co341,39.59216,-105.87087,23-Jun-06,national forest,0.09,5.32,1.54,2.44,1.72,0.59,0.76,0.1,0.2,2,7,740,1.3,1.07,3.3,63.7,8.3,32,8,26.9,12.9,0.22,34.7,23,"3,460",5.16,9,13.1,"1,370",214,118,1.05,7.3,2.2,220,0.3,12.8,1,3.2,53,1.3,13,764,0.5
C-292432,06co342,39.58222,-105.36353,25-Jun-06,wetlands,0.04,7.17,1.05,3.16,2.98,0.87,1.38,0.05,0.28,<1,5,751,3.8,0.19,0.5,182,11,58,7,25.8,20.8,0.07,90.7,38,"1,050",1.31,16.2,33.4,"1,140",41.4,175,0.52,11,4,202,<0.1,39.4,1,6.6,64,2.1,31.2,124,0.8
C-285031,06co343,39.56868,-105.02617,25-Jun-06,idle,0.02,7.49,1.33,2.79,2.19,0.58,0.25,0.02,0.23,<1,7,534,2.1,0.17,0.2,75.3,9.7,35,6,18.6,13.9,0.05,39.3,26,402,1.65,14.2,20.5,460,21.5,98.1,0.63,8.7,1.7,274,<0.1,13.6,0.8,4.5,84,1.1,18.2,64,<0.2
C-292289,06co344,39.56552,-104.58139,26-Jun-06,pasture,<0.02,4.95,0.76,1.82,2.76,0.69,1.33,0.02,0.16,<1,3,701,1.6,0.32,0.2,79.4,5,24,<5,20.1,13.4,0.05,38.1,21,418,0.73,8.7,13.9,430,22.8,96.2,0.28,5.8,1.6,141,0.1,12.7,0.5,2.7,36,1.1,16,57,0.2
C-292353,06co345,39.57388,-104.32462,14-Jun-06,agriculture,0.02,5.14,0.52,1.9,2.81,0.43,0.79,0.03,0.2,<1,5,798,1.7,0.2,0.4,79.5,7,31,<5,17.1,13.2,0.03,38.5,22,429,1.01,10.7,13.9,580,26.3,112,0.56,7,1.5,133,<0.1,12.9,0.7,3,59,1,19.4,63,0.4
C-284757,06co346,39.55009,-103.37821,24-Mar-06,farm,<0.02,4.98,0.85,1.71,2.69,0.46,0.86,0.03,0.18,<1,5,775,1.4,0.17,0.3,69.5,5.6,25,<5,11.7,11.7,0.03,36,19,391,0.78,9,10.8,520,22.8,102,0.5,5.9,1.3,156,<0.1,13,0.6,2.1,48,0.8,16.7,50,0.3
C-285143,06co347,39.55067,-103.32094,24-Mar-06,farm,<0.02,5.13,0.73,1.86,2.23,0.49,0.82,0.03,0.22,<1,5,737,1.7,0.2,0.3,78.4,7.7,32,<5,13.9,12.9,0.04,40.8,19,480,0.81,11.3,13.5,660,24.3,97.5,0.52,7.1,1.5,159,<0.1,13.4,0.6,2.8,59,1.1,18.4,62,0.3
C-284733,06co348,39.5483,-103.0052,23-Mar-06,farm,<0.02,5.4,0.76,2.07,2.68,0.59,0.83,0.04,0.19,<1,5,742,1.7,0.21,0.4,73.2,7.5,27,<5,14.7,13.5,0.04,37.9,23,478,0.83,9.7,14.4,820,22.1,108,0.53,7.3,1.4,158,<0.1,10.5,0.7,2.1,57,0.9,18.7,67,0.3
C-290059,06co349,39.46974,-108.96465,10-Sep-06,BLM,<0.02,4.05,1.56,1.3,1.48,0.63,0.73,0.05,0.1,<1,7,618,1.1,0.14,0.3,40.6,5.1,22,<5,14.9,7.93,0.02,21.8,15,274,0.75,4.7,11.3,640,15.9,67.3,0.87,4.1,0.9,102,<0.1,6.9,0.5,1.9,40,0.5,9.7,57,0.3
C-285112,06co350,39.49067,-108.74916,10-Sep-06,BLM,0.02,4.17,1.69,1.64,1.68,0.7,0.6,0.02,0.12,<1,7,522,1.3,0.2,0.4,44,6.3,30,<5,16.3,9.62,0.03,23.6,21,317,0.71,4.1,13.9,540,20,76.9,0.93,5.6,0.9,88.1,<0.1,7.4,0.5,1.7,58,0.5,10.6,64,0.2
C-292341,06co351,39.53701,-107.41625,26-Jul-06,BLM,0.03,5,0.84,1.95,1.72,0.46,1.07,0.03,0.14,<1,7,542,1.6,0.17,0.2,49,6,31,<5,11.4,11.8,0.02,25.3,27,326,0.74,6.3,13,600,17.5,72,0.57,5.7,1.1,119,<0.1,7.6,0.4,1.7,58,0.7,12.6,61,0.4
C-292373,06co352,39.51284,-107.2866,26-Jul-06,idle,<0.02,5.95,4.41,2.36,2.62,0.82,1.42,0.02,0.2,<1,3,622,2,0.16,0.2,71.1,7.4,38,5,13.8,12.9,0.04,36.1,28,470,0.49,7.2,17.2,740,18.6,93.1,0.36,8.1,1.7,157,<0.1,10.6,0.5,2.5,59,0.9,19.3,56,<0.2
C-292248,06co353,39.51325,-105.71249,25-Jun-06,national forest,0.02,6.74,0.87,2.35,2.89,0.48,1.77,0.02,0.22,<1,3,864,2.2,0.25,0.2,97,8.2,46,<5,15.9,15.2,0.05,46.9,25,462,1.08,9.9,17.5,960,42.7,133,2.5,8.3,2.9,265,<0.1,16.6,0.7,5.1,49,0.9,13.5,76,<0.2
C-292304,06co354,39.53616,-104.85791,25-Jun-06,pasture,<0.02,6.91,2.63,4.05,2.57,0.76,0.65,0.03,0.37,<1,6,787,2,0.25,0.3,97.4,13.1,38,5,29.9,17.9,0.05,47.7,36,959,0.92,16.1,18.7,840,29.6,108,0.65,11.5,1.9,243,<0.1,15,0.7,3.1,115,1.3,24.2,93,0.3
C-290152,06co355,39.46222,-103.92862,24-Mar-06,farm,<0.02,4.8,0.52,1.26,3.5,0.25,0.83,0.03,0.14,<1,6,882,1.9,0.09,0.2,51.4,4.5,17,<5,11.2,10.3,0.02,26.2,12,344,0.94,7.7,11.4,330,24.1,121,0.33,3.5,0.9,131,<0.1,8.4,0.7,2.3,34,0.7,14.1,43,0.2
C-285008,06co356,39.50524,-103.62148,23-Mar-06,farm,<0.02,5.47,3.35,2.31,2.17,0.79,0.75,0.03,0.21,<1,7,725,1.9,0.18,0.3,71.4,8.7,32,5,18.1,13.6,0.04,38.4,27,449,0.95,12.5,18.4,600,21.8,99.8,0.64,7,1.9,211,<0.1,14,0.6,3,69,1.1,18.3,61,0.2
C-284819,06co357,39.49043,-102.83461,25-Mar-06,pasture,<0.02,4.88,0.89,1.61,2.13,0.49,0.85,0.04,0.19,<1,3,655,1.4,0.15,0.3,69.7,5.3,34,<5,11.3,11.2,0.03,34.2,17,365,0.96,8.1,14.2,770,18.6,86.7,0.34,5.9,1.2,175,<0.1,12.4,0.5,2.4,45,0.7,16.1,56,0.3
C-290040,06co358,39.42029,-108.41766,11-Sep-06,BLM,0.03,6.17,4.94,2.62,1.83,1.53,0.63,0.07,0.18,<1,11,625,1.6,0.27,0.5,64.9,9.1,38,6,24.1,13.1,0.05,33.5,43,450,2.92,7.2,19.6,880,19.3,89.5,0.86,8.5,1.5,303,<0.1,10.6,0.6,4.1,85,0.7,15.9,90,0.5
C-292299,06co359,39.45597,-108.05872,11-Sep-06,urban—Parachute,0.02,5.92,3.49,2.86,2,1.12,0.83,0.03,0.22,<1,10,638,1.8,0.27,0.7,59,8.7,49,6,22.9,13.8,0.04,30.3,42,428,2.14,8.1,23.6,710,23.2,89,1.13,8.8,1.5,204,<0.1,9.4,0.6,2.9,109,0.9,17.1,90,0.3
C-285184,06co360,39.45301,-107.72977,23-Jul-06,gas field,<0.02,4.8,2.57,1.88,2.21,0.99,1.01,0.05,0.19,<1,7,697,1.6,0.19,0.4,64,7.3,36,<5,17.4,11.5,0.03,33.2,35,468,1.31,8.1,16.4,800,19.9,87.5,0.52,7.1,1.2,241,<0.1,10.4,0.5,2.4,54,0.9,14.4,74,0.2
C-292311,06co361,39.43225,-107.68922,23-Jul-06,agriculture,0.02,4.63,4.23,2.05,2.24,1.41,0.96,0.09,0.18,<1,8,645,1.5,0.22,0.5,54,7.8,46,5,21,11.6,0.03,27.8,52,461,1.58,7.7,21.3,950,20.2,84,0.75,7.2,1.3,257,<0.1,9,0.5,2.5,73,0.7,15.5,75,0.4
C-292327,06co362,39.45082,-107.14987,23-Jul-06,pasture,<0.02,5.51,5.95,3.44,1.8,1.22,0.98,0.04,0.34,<1,7,665,1.4,0.17,0.3,76.7,14.6,66,<5,24,12.9,0.04,37.4,30,650,0.87,6.2,42.9,850,17.4,66.7,0.63,10.6,1.3,190,<0.1,11.3,0.4,1.9,93,0.6,21,71,0.3
C-292408,06co363,39.39886,-106.93933,24-Jul-06,national forest,<0.02,5.7,0.66,2.28,2.41,0.89,1.2,0.03,0.17,<1,4,605,1.8,0.15,0.2,49.4,7.7,37,<5,17.1,12.3,0.04,23.6,28,658,0.52,5.8,17.9,690,17.3,88.7,0.5,7.8,1.6,81.8,<0.1,8.1,0.4,2.1,54,0.7,14.4,57,0.2
C-292426,06co364,39.47844,-104.75476,15-Jun-06,idle,0.05,7.35,0.74,2.7,3.31,0.55,0.91,0.04,0.24,<1,4,682,2.9,0.21,0.5,95.9,7.5,36,6,18.6,17.5,0.07,48.8,21,375,0.81,14.9,14.4,720,33.2,146,0.38,9.7,3,159,<0.1,17.5,0.9,4.1,54,1.6,23.1,117,0.4
C-290050,06co365,39.46192,-104.20736,14-Jun-06,pasture,0.02,5.56,0.56,1.67,1.63,0.36,0.71,0.06,0.13,<1,5,801,1.7,0.17,0.4,66.6,5.9,24,<5,12.6,12.3,0.04,33.6,15,287,1.16,9.8,11.4,510,25.3,78.1,0.32,5.3,1.5,131,<0.1,12,0.7,3,39,0.8,13.3,104,0.4
C-285002,06co366,39.44719,-103.99611,14-Jun-06,pasture,<0.02,4.79,1.34,2.11,1.88,0.42,0.58,0.02,0.19,<1,7,693,1.5,0.14,0.2,73.5,7,24,<5,14,11.4,0.04,38.7,19,520,1.04,9.4,14.3,460,21.9,85.8,0.59,5.5,1.5,158,<0.1,13.4,0.6,2.8,59,0.8,16.9,51,0.3
C-284967,06co367,39.44527,-103.2664,24-Mar-06,farm,<0.02,5.12,0.58,1.39,2.84,0.46,0.72,0.02,0.14,<1,5,719,1.5,0.15,0.1,70.1,4.6,28,<5,10.8,12.4,0.03,36.9,18,234,0.65,12,12,500,24.5,114,0.47,4.2,1.1,129,<0.1,12.1,0.6,1.7,46,0.8,15.2,44,<0.2
C-290066,06co368,39.43184,-102.2588,25-Mar-06,farm,<0.02,5,0.7,1.56,1.94,0.42,0.83,0.02,0.18,<1,4,668,1.2,0.15,0.2,60.5,5.3,33,<5,9,10.2,0.03,31.7,15,322,0.55,9.4,9.8,590,32.6,79.1,0.43,5.2,1.1,163,<0.1,10.4,0.5,2.3,43,0.7,14.2,51,<0.2
C-290132,06co369,39.41758,-102.15369,25-Mar-06,farm,<0.02,5.3,1.92,1.71,2.92,0.57,1.16,0.03,0.26,<1,4,866,1.5,0.29,0.2,57.6,5.3,27,<5,12.5,11.8,0.03,30.7,20,369,0.57,11.4,11.1,600,19,94.9,0.46,5.6,1.2,223,<0.1,10,0.6,2.1,57,0.8,16.4,45,<0.2
C-285109,06co370,39.37524,-108.98273,10-Sep-06,BLM,0.03,4.19,1.53,2.02,1.56,0.97,0.44,0.08,0.12,<1,11,413,1.3,0.28,0.2,41.5,6.3,58,<5,15,9.32,0.03,22.5,29,165,1.57,5.6,24.2,720,18.7,74,0.67,6.4,1.1,88.5,<0.1,8.1,0.5,2.3,64,0.7,13.2,80,0.8
C-290077,06co371,39.37917,-108.33926,11-Sep-06,BLM,0.02,6.25,4.16,2.49,1.93,1.41,0.69,0.07,0.18,<1,10,586,1.8,0.27,0.5,62.1,8.8,40,5,23.4,13.3,0.04,31.9,42,460,2.9,8.1,18.7,790,22.2,91.3,0.87,8.3,1.5,256,<0.1,10.2,0.6,3.4,74,0.8,15.7,87,0.3
C-284915,06co372,39.40631,-106.43499,24-Jul-06,national forest,0.24,6.28,0.75,3.22,2.01,0.76,0.92,0.02,0.27,<1,8,667,1.3,0.39,0.6,68.2,10.8,59,6,22.6,15.4,0.09,32,33,"1,230",0.76,9.9,23.5,770,58.6,118,0.64,8.7,8.6,141,0.1,10,0.6,2.1,76,1,10.6,143,<0.2
C-285053,06co373,39.44636,-106.39523,24-Jul-06,national forest,<0.02,5.93,0.83,3.84,1.81,0.69,1.11,0.02,0.25,<1,6,540,1.5,0.26,0.6,72.6,10.3,85,<5,20.3,14.2,0.09,38,26,791,0.72,8.8,29.9,800,41.9,90,0.32,8.5,2,169,0.1,11.9,0.6,2.5,79,0.7,10.9,113,<0.2
C-289967,06co374,39.42821,-106.04404,25-Jul-06,national forest,0.04,6.9,0.77,2.66,1.84,0.79,0.83,0.04,0.26,<1,6,723,2.4,0.81,0.5,68.9,9.2,59,8,16.4,16.5,0.09,34.2,31,"1,230",2.82,10.4,22.3,"1,020",66.9,150,0.42,9.3,2.3,137,0.1,12.3,0.9,3.2,69,1.9,9.7,153,<0.2
C-285078,06co375,39.41625,-105.87649,23-Jun-06,national forest,<0.02,6.13,1.49,3.71,1.89,0.98,1.73,0.03,0.24,<1,3,619,2.3,0.38,0.4,36.4,16.1,41,<5,19.6,17.8,0.08,19.2,27,826,1.21,7.8,19.7,920,36.2,103,0.26,14.9,2.4,224,<0.1,11.4,0.6,3.9,71,5,16.5,131,<0.2
C-284822,06co376,39.45277,-105.42853,23-Jun-06,national forest,0.04,5.7,0.53,2.28,3.18,0.27,1.59,0.07,0.17,<1,4,"1,900",2.9,0.24,0.4,186,4.6,24,<5,8.3,21.9,0.12,95.7,13,699,2.18,40.1,11.7,440,78.8,123,1.13,5.3,2.9,139,<0.1,19.4,0.6,2.9,26,2.6,42.8,103,<0.2
